# Description of the experiment:,,,,,,
#,,,,,,
# - We generate the costs to up to 10.000 tasks for num_resources ∈ {10,25,40,55,70,85, 100}.
# All costs follow linear functions with RNG seeds [100..199].,,,,,,
# - We schedule from 1.000 to 10.000 tasks in increments of 100.,,,,,,
# - We run OLAR_Adapted, Fed-LBAP, FedAvg, Random, and Proportional.,,
# - We use no lower or upper limits.,,,,,,
# - Every result is verified and logged to a CSV file.,,,,,,
Scheduler_Name,Num_Tasks,Num_Resources,Num_Selected_Resources,Makespan,Energy_Consumption,Training_Accuracy
OLAR_Adapted,10,10,5,9.6499432184984,20.0864053457625,0.00125540033411
MC²MKP_Adapted,10,10,2,14.8878976142152,17.4053502646624,0.001087834391541
MEC,10,10,5,9.6499432184984,20.0864053457625,0.00125540033411
MEC_With_Accuracy,10,10,5,9.6499432184984,20.0864053457625,0.00125540033411
ECMTC,10,10,2,14.8878976142152,17.4053502646624,0.001087834391541
ECMTC_With_Accuracy,10,10,2,17.4053502646624,14.8878976142152,0.001087834391541
OLAR_Adapted,20,10,9,12.5928129567766,34.086958197004,0.002130434887313
MC²MKP_Adapted,20,10,2,27.982783603507,21.5957137812358,0.001349732111327
MEC,20,10,9,12.5928129567766,34.086958197004,0.002130434887313
MEC_With_Accuracy,20,10,9,12.5928129567766,34.086958197004,0.002130434887313
ECMTC,20,10,2,27.982783603507,21.5957137812358,0.001349732111327
ECMTC_With_Accuracy,20,10,2,21.5957137812358,27.982783603507,0.001349732111327
OLAR_Adapted,30,10,10,17.3488198867914,44.6693625883311,0.002791835161771
MC²MKP_Adapted,30,10,2,41.0776695927989,25.7860772978092,0.001611629831113
MEC,30,10,10,17.3488198867914,44.6693625883311,0.002791835161771
MEC_With_Accuracy,30,10,10,17.3488198867914,44.6693625883311,0.002791835161771
ECMTC,30,10,2,41.0776695927989,25.7860772978092,0.001611629831113
ECMTC_With_Accuracy,30,10,2,25.7860772978092,41.0776695927989,0.001611629831113
OLAR_Adapted,40,10,10,20.2546032952066,57.6536076171769,0.003603350476074
MC²MKP_Adapted,40,10,2,54.1725555820908,29.9764408143826,0.001873527550899
MEC,40,10,10,20.2546032952066,57.6536076171769,0.003603350476074
MEC_With_Accuracy,40,10,10,20.2546032952066,57.6536076171769,0.003603350476074
ECMTC,40,10,2,54.1725555820908,29.9764408143826,0.001873527550899
ECMTC_With_Accuracy,40,10,2,29.9764408143826,54.1725555820908,0.001873527550899
OLAR_Adapted,50,10,10,23.7140821101307,68.4945110539491,0.004280906940872
MC²MKP_Adapted,50,10,2,67.2674415713827,34.166804330956,0.002135425270685
MEC,50,10,10,23.7140821101307,68.4945110539491,0.004280906940872
MEC_With_Accuracy,50,10,10,23.7140821101307,68.4945110539491,0.004280906940872
ECMTC,50,10,2,67.2674415713827,34.166804330956,0.002135425270685
ECMTC_With_Accuracy,50,10,2,34.166804330956,67.2674415713827,0.002135425270685
OLAR_Adapted,60,10,10,27.6307806824762,80.6771951489116,0.005042324696807
MC²MKP_Adapted,60,10,2,80.3623275606746,38.3571678475294,0.002397322990471
MEC,60,10,10,27.6307806824762,80.6771951489116,0.005042324696807
MEC_With_Accuracy,60,10,10,27.6307806824762,80.6771951489116,0.005042324696807
ECMTC,60,10,2,80.3623275606746,38.3571678475294,0.002397322990471
ECMTC_With_Accuracy,60,10,2,38.3571678475294,80.3623275606746,0.002397322990471
OLAR_Adapted,70,10,10,30.5683745383029,93.3056829015874,0.005831605181349
MC²MKP_Adapted,70,10,2,93.4572135499665,42.5475313641028,0.002659220710256
MEC,70,10,10,30.5683745383029,93.3056829015874,0.005831605181349
MEC_With_Accuracy,70,10,10,30.5683745383029,93.3056829015874,0.005831605181349
ECMTC,70,10,2,93.4572135499665,42.5475313641028,0.002659220710256
ECMTC_With_Accuracy,70,10,2,42.5475313641028,93.4572135499665,0.002659220710256
OLAR_Adapted,80,10,10,34.530226598153,103.412346458545,0.006463271653659
MC²MKP_Adapted,80,10,2,106.552099539258,46.7378948806762,0.002921118430042
