
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow linear functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Num_Selected_Resources,Makespan,Energy_Consumption,Training_Accuracy
OLAR,1000,10,10,370.444388923912,1180.1213670995,0.0136469802117938
ELASTIC,1000,10,10,959.953088953297,1627.64454866512,0.0202387652647295
FedAECS,1000,10,1,5423.91794793458,1735.65374333907,0.182314786971976
MC²MKP,1000,10,2,1311.28161055411,432.251338405429,0.000276690579970818
MEC,1000,10,10,370.444388923912,1180.1213670995,0.0136469802117938
ECMTC,1000,10,2,1311.28161055411,432.251338405429,0.000276690579970818
OLAR,1100,10,10,407.734477292972,1296.5189464262,0.0148477613979262
ELASTIC,1100,10,10,1055.84068953065,1789.12777521746,0.0222386545230094
FedAECS,1100,10,1,5966.20171203165,1909.18454785013,0.198840268962882
MC²MKP,1100,10,2,1442.23047044703,474.154973571163,0.000280376055250223
MEC,1100,10,10,407.734477292972,1296.5189464262,0.0148477613979262
ECMTC,1100,10,2,1442.23047044703,474.154973571163,0.000280376055250223
OLAR,1200,10,10,444.056202706639,1413.26343595415,0.0162484208893394
ELASTIC,1200,10,10,1151.72829010801,1950.6110017698,0.0242385437812894
FedAECS,1200,10,1,6508.48547612872,2082.71535236119,0.215097093084991
MC²MKP,1200,10,2,1573.17933033995,516.058608736897,0.000284061530529627
MEC,1200,10,10,444.056202706639,1413.26343595415,0.0162484208893394
ECMTC,1200,10,2,1573.17933033995,516.058608736897,0.000284061530529627
OLAR,1300,10,10,480.515086066516,1530.9772869743,0.017649117263648
ELASTIC,1300,10,10,1247.61589068537,2112.09422832214,0.0262384330395694
FedAECS,1300,10,1,7050.76924022579,2256.24615687225,0.231093855025871
MC²MKP,1300,10,2,1704.12819023287,557.962243902632,0.000287747005809032
MEC,1300,10,10,480.515086066516,1530.9772869743,0.017649117263648
ECMTC,1300,10,2,1704.12819023287,557.962243902632,0.000287747005809032
OLAR,1400,10,10,516.804185959908,1647.88957706058,0.0190498136379531
ELASTIC,1400,10,10,1343.50349126272,2273.57745487447,0.0282383222978494
FedAECS,1400,10,1,7593.05300432286,2429.77696138332,0.246838744432654
MC²MKP,1400,10,2,1835.07705012579,599.865879068366,0.000291432481088437
MEC,1400,10,10,516.804185959908,1647.88957706058,0.0190498136379531
ECMTC,1400,10,2,1835.07705012579,599.865879068366,0.000291432481088437
OLAR,1500,10,10,553.968474573987,1763.7765530594,0.0202505579411901
ELASTIC,1500,10,10,1439.39109184008,2435.06068142681,0.0302382115561294
FedAECS,1500,10,1,8135.33676841993,2603.30776589438,0.262339570089985
MC²MKP,1500,10,2,1966.02591001871,641.7695142341,0.000295117956367842
MEC,1500,10,10,553.968474573987,1763.7765530594,0.0202505579411901
ECMTC,1500,10,2,1966.02591001871,641.7695142341,0.000295117956367842
OLAR,1600,10,10,589.982484264786,1881.49040407955,0.0216512543154987
ELASTIC,1600,10,10,1535.27869241743,2596.54390797915,0.0322381008144094
FedAECS,1600,10,1,8677.620532517,2776.83857040544,0.277603783176159
MC²MKP,1600,10,2,2096.97476991163,683.673149399834,0.000298803431647246
MEC,1600,10,10,589.982484264786,1881.49040407955,0.0216512543154987
ECMTC,1600,10,2,2096.97476991163,683.673149399834,0.000298803431647246
OLAR,1700,10,10,626.329844097461,1999.60695870606,0.0230519138350545
ELASTIC,1700,10,10,1631.16629299479,2758.02713453149,0.0342379900726894
FedAECS,1700,10,1,9219.90429661407,2950.3693749165,0.292638498770848
MC²MKP,1700,10,2,2227.92362980454,725.576784565568,0.000302488906926651
MEC,1700,10,10,626.329844097461,1999.60695870606,0.0230519138350545
ECMTC,1700,10,2,2227.92362980454,725.576784565568,0.000302488906926651
OLAR,1800,10,10,662.701527163493,2115.94874462765,0.0244526101812206
ELASTIC,1800,10,10,1727.05389357215,2919.51036108383,0.0362378793309694
FedAECS,1800,10,1,9762.18806071114,3123.90017942756,0.307450515769808
MC²MKP,1800,10,2,2358.87248969746,767.480419731302,0.000306174382206056
MEC,1800,10,10,662.701527163493,2115.94874462765,0.0244526101812206
ECMTC,1800,10,2,2358.87248969746,767.480419731302,0.000306174382206056
ELASTIC,1900,10,10,1822.9414941495,3080.99358763617,0.0382377685892493
OLAR,1900,10,10,699.944888713264,2230.39962456495,0.0256533913673494
FedAECS,1900,10,1,10304.4718248082,3297.43098393863,0.322046335346092
MC²MKP,1900,10,2,2489.82134959038,809.384054897036,0.00030985985748546
MEC,1900,10,10,699.944888713264,2230.39962456495,0.0256533913673494
ECMTC,1900,10,2,2489.82134959038,809.384054897036,0.00030985985748546
OLAR,2000,10,10,736.018994617532,2349.96128151804,0.0270540508869052
ELASTIC,2000,10,10,1918.82909472686,3242.47681418851,0.0402376578475293
FedAECS,2000,10,1,10846.7555889053,3470.96178844969,0.336432178083245
MC²MKP,2000,10,2,2620.7702094833,851.28769006277,0.000313545332764865
MEC,2000,10,10,736.018994617532,2349.96128151804,0.0270540508869052
ECMTC,2000,10,2,2620.7702094833,851.28769006277,0.000313545332764865
OLAR,2100,10,10,772.702274118461,2466.00310356858,0.0284547472330712
ELASTIC,2100,10,10,2014.71669530421,3403.96004074084,0.0422375471058093
FedAECS,2100,10,1,11389.0393530024,3644.49259296075,0.350613999893492
MC²MKP,2100,10,2,2751.71906937622,893.191325228504,0.00031723080804427
MEC,2100,10,10,772.702274118461,2466.00310356858,0.0284547472330712
ECMTC,2100,10,2,2751.71906937622,893.191325228504,0.00031723080804427
OLAR,2200,10,10,809.083115468514,2582.87513576762,0.0298554436073798
ELASTIC,2200,10,10,2110.60429588157,3565.44326729318,0.0442374363640893
FedAECS,2200,10,1,11931.3231170994,3818.02339747181,0.364597506822873
MC²MKP,2200,10,2,2882.66792926914,935.094960394238,0.000320916283323675
MEC,2200,10,10,809.083115468514,2582.87513576762,0.0298554436073798
ECMTC,2200,10,2,2882.66792926914,935.094960394238,0.000320916283323675
OLAR,2300,10,10,846.08210873269,2700.13417686501,0.0310561879387595
ELASTIC,2300,10,10,2206.49189645893,3726.92649384552,0.0462373256223693
FedAECS,2300,10,1,12473.6068811965,3991.55420198288,0.378388168835422
MC²MKP,2300,10,2,3013.61678916206,976.998595559972,0.000324601758603079
MEC,2300,10,10,846.08210873269,2700.13417686501,0.0310561879387595
ECMTC,2300,10,2,3013.61678916206,976.998595559972,0.000324601758603079
ELASTIC,2400,10,10,2302.37949703628,3888.40972039786,0.0482372148806493
OLAR,2400,10,10,883.076497206429,2815.90132849576,0.0324568843130645
FedAECS,2400,10,1,13015.8906452936,4165.08500649394,0.391991232659752
MC²MKP,2400,10,2,3144.56564905498,1018.90223072571,0.000328287233882484
MEC,2400,10,10,883.076497206429,2815.90132849576,0.0324568843130645
ECMTC,2400,10,2,3144.56564905498,1018.90223072571,0.000328287233882484
OLAR,2500,10,10,919.074704139462,2931.94315054629,0.0338575806592305
ELASTIC,2500,10,10,2398.26709761364,4049.8929469502,0.0502371041389293
FedAECS,2500,10,1,13558.1744093906,4338.615811005,0.405411733773516
MC²MKP,2500,10,2,3275.5145089479,1060.80586589144,0.000331972709161889
MEC,2500,10,10,919.074704139462,2931.94315054629,0.0338575806592305
ECMTC,2500,10,2,3275.5145089479,1060.80586589144,0.000331972709161889
ELASTIC,2600,10,10,2494.154698191,4211.37617350254,0.0522369933972093
OLAR,2600,10,10,955.499731774723,3049.65700156645,0.0352582770335391
FedAECS,2600,10,1,14100.4581734877,4512.14661551606,0.418654507594282
MC²MKP,2600,10,2,3406.46336884081,1102.70950105717,0.000335658184441293
MEC,2600,10,10,955.499731774723,3049.65700156645,0.0352582770335391
ECMTC,2600,10,2,3406.46336884081,1102.70950105717,0.000335658184441293
OLAR,2700,10,10,992.049294631035,3166.53032172752,0.0364590213367761
ELASTIC,2700,10,10,2590.04229876835,4372.85940005488,0.0542368826554892
FedAECS,2700,10,1,14642.7419375848,4685.67742002713,0.431724199939044
MC²MKP,2700,10,2,3537.41222873373,1144.61313622291,0.000339343659720698
MEC,2700,10,10,992.049294631035,3166.53032172752,0.0364590213367761
ECMTC,2700,10,2,3537.41222873373,1144.61313622291,0.000339343659720698
ELASTIC,2800,10,10,2685.92989934571,4534.34262660722,0.0562367719137692
OLAR,2800,10,10,1028.70551718703,3284.24417274767,0.0378597177110848
FedAECS,2800,10,1,15185.0257016818,4859.20822453819,0.444625276808988
MC²MKP,2800,10,2,3668.36108862665,1186.51677138864,0.000343029135000103
MEC,2800,10,10,1028.70551718703,3284.24417274767,0.0378597177110848
ECMTC,2800,10,2,3668.36108862665,1186.51677138864,0.000343029135000103
OLAR,2900,10,10,1065.36173974303,3400.01132437842,0.0392604140853898
ELASTIC,2900,10,10,2781.81749992306,4695.82585315955,0.0582366611720492
FedAECS,2900,10,1,15727.3094657789,5032.73902904925,0.457362033551085
MC²MKP,2900,10,2,3799.30994851957,1228.42040655438,0.000346714610279507
MEC,2900,10,10,1065.36173974303,3400.01132437842,0.0392604140853898
ECMTC,2900,10,2,3799.30994851957,1228.42040655438,0.000346714610279507
ELASTIC,3000,10,10,2877.70510050042,4857.30907971189,0.0602365504303292
OLAR,3000,10,10,1101.91634808093,3517.56941608843,0.0406611104596984
FedAECS,3000,10,1,16269.593229876,5206.26983356031,0.46993860344354
MC²MKP,3000,10,2,3930.25880841249,1270.32404172011,0.000350400085558912
MEC,3000,10,10,1101.91634808093,3517.56941608843,0.0406611104596984
ECMTC,3000,10,2,3930.25880841249,1270.32404172011,0.000350400085558912
OLAR,3100,10,10,1138.42911549546,3633.45639208725,0.0418618547629354
ELASTIC,3100,10,10,2973.59270107778,5018.79230626423,0.0622364396886092
FedAECS,3100,10,1,16811.8769939731,5379.80063807138,0.482358965748024
MC²MKP,3100,10,2,4061.20766830541,1312.22767688584,0.000354085560838317
MEC,3100,10,10,1138.42911549546,3633.45639208725,0.0418618547629354
ECMTC,3100,10,2,4061.20766830541,1312.22767688584,0.000354085560838317
OLAR,3200,10,10,1175.09479626548,3751.17024310741,0.043262551137244
ELASTIC,3200,10,10,3069.48030165513,5180.27553281657,0.0642363289468892
FedAECS,3200,10,1,17354.1607580701,5553.33144258244,0.494626953267962
MC²MKP,3200,10,2,4192.15652819833,1354.13131205158,0.000357771036117722
MEC,3200,10,10,1175.09479626548,3751.17024310741,0.043262551137244
ECMTC,3200,10,2,4192.15652819833,1354.13131205158,0.000357771036117722
OLAR,3300,10,10,1210.63909795402,3870.7319000605,0.0446632106567999
ELASTIC,3300,10,10,3165.36790223249,5341.75875936891,0.0662362182051692
FedAECS,3300,10,1,17896.4445221672,5726.8622470935,0.506746259448783
MC²MKP,3300,10,2,4323.10538809125,1396.03494721731,0.000361456511397126
MEC,3300,10,10,1210.63909795402,3870.7319000605,0.0446632106567999
ECMTC,3300,10,2,4323.10538809125,1396.03494721731,0.000361456511397126
OLAR,3400,10,10,1247.77068734451,3986.16011789499,0.0458639549600369
ELASTIC,3400,10,10,3261.25550280984,5503.24198592125,0.0682361074634491
