
# Description of the Experiment:
#  - We generate the costs to up to 2000 tasks for 100 resources.
#  - All resources costs follow linear functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 200 to 2000 tasks in increments of 200.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Each sample is composed of 5 executions of the schedulers.
#  - We get 20 samples for each pair (scheduler; tasks)
#  - The order of execution of the different schedulers is randomly defined.
#    We set shuffle seed at 1000 and increase it every time we need a new order.
#  - Every result is logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Execution_Time
ELASTIC,200,100,0.027493143003084697
ECMTC,200,100,7.975516038000933
MC²MKP,200,100,2.574333373006084
MEC,200,100,4.346011246001581
OLAR,200,100,0.007071646003169008
FedAECS,200,100,0.239523708994966
ECMTC,200,100,8.116921544991783
ELASTIC,200,100,0.026890167995588854
MEC,200,100,4.444751044997247
OLAR,200,100,0.006787235994124785
FedAECS,200,100,0.24349707500368822
MC²MKP,200,100,2.5988847900007386
ECMTC,200,100,7.927351207006723
ELASTIC,200,100,0.026725867006462067
MEC,200,100,4.351070205011638
OLAR,200,100,0.006975095995585434
FedAECS,200,100,0.23368441600177903
MC²MKP,200,100,2.6064743449969683
MC²MKP,200,100,2.6190676400001394
FedAECS,200,100,0.23828970499744173
ELASTIC,200,100,0.031108725001104176
MEC,200,100,4.377289661002578
OLAR,200,100,0.006703751001623459
ECMTC,200,100,7.995972256001551
OLAR,200,100,0.006782875003409572
MC²MKP,200,100,2.607696777995443
MEC,200,100,4.389072507998208
ECMTC,200,100,7.994857811994734
FedAECS,200,100,0.2383463560108794
ELASTIC,200,100,0.02729976399859879
MEC,200,100,4.388285598994116
ELASTIC,200,100,0.026793035998707637
OLAR,200,100,0.007074820008710958
MC²MKP,200,100,2.608751141000539
ECMTC,200,100,8.00328402100422
FedAECS,200,100,0.24135291000129655
OLAR,200,100,0.006814220003434457
ECMTC,200,100,7.977872463001404
ELASTIC,200,100,0.026554875003057532
FedAECS,200,100,0.23951971999485977
MC²MKP,200,100,2.573984549002489
MEC,200,100,4.327075086010154
MEC,200,100,4.339305045999936
ECMTC,200,100,7.972948969996651
OLAR,200,100,0.006700481986626983
FedAECS,200,100,0.23884995499975048
MC²MKP,200,100,2.592574007998337
ELASTIC,200,100,0.026166830997681245
ELASTIC,200,100,0.02658458100631833
MEC,200,100,4.335592817995348
FedAECS,200,100,0.23908680000749882
ECMTC,200,100,7.9460215300059645
MC²MKP,200,100,2.5728482359991176
OLAR,200,100,0.006692684008157812
ECMTC,200,100,7.958136770001147
FedAECS,200,100,0.23574084900610615
MC²MKP,200,100,2.6038899720006157
MEC,200,100,4.370362482004566
ELASTIC,200,100,0.026323186000809073
OLAR,200,100,0.006804623000789434
ECMTC,200,100,7.981473407999147
FedAECS,200,100,0.23320010499446653
MC²MKP,200,100,2.5962629159912467
ELASTIC,200,100,0.026509820003411733
OLAR,200,100,0.007797389000188559
MEC,200,100,4.3634839139995165
MC²MKP,200,100,2.6027839689922985
OLAR,200,100,0.007051348002278246
ELASTIC,200,100,0.028044976003002375
MEC,200,100,4.396329481009161
ECMTC,200,100,7.988262750004651
FedAECS,200,100,0.2357162769912975
MEC,200,100,4.365934126995853
OLAR,200,100,0.0068255849910201505
ECMTC,200,100,8.005818695004564
FedAECS,200,100,0.23278589600522537
MC²MKP,200,100,2.6012592000042787
ELASTIC,200,100,0.026919714000541717
ECMTC,200,100,7.989539697999135
FedAECS,200,100,0.23987723600293975
MC²MKP,200,100,2.5800050539983204
ELASTIC,200,100,0.02662082300230395
MEC,200,100,4.3136378749914
OLAR,200,100,0.00688678199367132
OLAR,200,100,0.007366231002379209
FedAECS,200,100,0.23623905799468048
ECMTC,200,100,7.948969961988041
MEC,200,100,4.327888889005408
MC²MKP,200,100,2.5733667310123565
ELASTIC,200,100,0.02705365799192805
OLAR,200,100,0.007110104008461349
MC²MKP,200,100,2.5749489629961317
FedAECS,200,100,0.23857665600371547
ELASTIC,200,100,0.026747650001198053
MEC,200,100,4.331252998003038
ECMTC,200,100,7.956754137005191
ELASTIC,200,100,0.02657208198797889
ECMTC,200,100,7.969614852001541
OLAR,200,100,0.006993350994889624
FedAECS,200,100,0.23549101800017525
MC²MKP,200,100,2.6074470530002145
MEC,200,100,4.357933186009177
OLAR,200,100,0.0070725359983043745
FedAECS,200,100,0.23779492899484467
ECMTC,200,100,7.950260153986164
ELASTIC,200,100,0.0265945900027873
MC²MKP,200,100,2.591289842996048
MEC,200,100,4.33514822399593
ECMTC,200,100,7.897492432006402
OLAR,200,100,0.0069464069965761155
ELASTIC,200,100,0.02745763499115128
MEC,200,100,4.309724498001742
FedAECS,200,100,0.236117145002936
MC²MKP,200,100,2.5707343999965815
MC²MKP,200,100,2.570921709004324
FedAECS,200,100,0.23946859399438836
ELASTIC,200,100,0.02795453098951839
MEC,200,100,4.327267175991437
OLAR,200,100,0.006991928006755188
ECMTC,200,100,7.916199707004125
ELASTIC,400,100,0.027337305989931338
FedAECS,400,100,0.4709473589900881
ECMTC,400,100,31.89341560298635
OLAR,400,100,0.012860974005889148
MEC,400,100,17.41194629999518
