
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow nlogn functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Num_Selected_Resources,Makespan,Energy_Consumption,Training_Accuracy
ELASTIC,1000,10,10,4426.405410532097,7465.4578030159655,0.01086502104067724
OLAR,1000,10,10,1743.8330228756674,5544.940256655269,0.007530781490466989
FedAECS,1000,10,1,37428.678850741766,11977.177232237365,0.15019850934543338
MC²MKP,1000,10,10,8533.947158028637,2860.7907941377453,8.306361938542107e-05
MEC,1000,10,10,1743.8330228756674,5544.940256655269,0.007530781490466989
ECMTC,1000,10,10,8533.947158028637,2860.7907941377453,8.306361938542107e-05
OLAR,1100,10,10,1961.1603011394388,6220.7143016874,0.008410220124903238
ELASTIC,1100,10,10,4968.518142534495,8378.423740131338,0.012192561084774544
FedAECS,1100,10,1,41742.66232693063,13357.651944617803,0.16614500372269675
MC²MKP,1100,10,10,9558.985776304884,3192.107732195873,8.346153604289384e-05
MEC,1100,10,10,1961.1603011394388,6220.714301687401,0.008410220124903238
ECMTC,1100,10,10,9558.985776304884,3192.107732195873,8.346153604289384e-05
OLAR,1200,10,10,2172.0765996495347,6921.683702928805,0.009303876538672822
ELASTIC,1200,10,10,5519.35926264583,9306.089057207679,0.013541475437297027
FedAECS,1200,10,1,46106.05745996766,14753.938387189653,0.18201955575403236
MC²MKP,1200,10,10,10585.74212065973,3527.3813015441324,8.386011951604304e-05
MEC,1200,10,10,2172.0765996495347,6921.683702928805,0.009303876538672822
ECMTC,1200,10,10,10585.74212065973,3527.3813015441324,8.386011951604304e-05
OLAR,1300,10,10,2392.8672886106338,7612.184765980498,0.010341157384140945
ELASTIC,1300,10,10,6078.199740797537,10247.226002929734,0.014909978830066622
FedAECS,1300,10,1,50514.733146076156,16164.71460674437,0.19780692760947363
MC²MKP,1300,10,10,11612.834831746224,3866.2254482834182,0.00013031995178321487
MEC,1300,10,10,2392.8672886106338,7612.184765980498,0.010341157384140945
ECMTC,1300,10,10,11612.834831746224,3866.2254482834182,0.00013031995178321487
OLAR,1400,10,10,2612.360696172699,8324.481005443706,0.01126168744092425
ELASTIC,1400,10,10,6644.423047285251,11200.796286576633,0.016296561488782512
FedAECS,1400,10,1,54965.19638687079,17588.862843798655,0.21349509213385157
MC²MKP,1400,10,10,12660.581748849225,4208.330583357316,0.00013072668372842892
MEC,1400,10,10,2612.360696172699,8324.481005443704,0.01126168744092425
ECMTC,1400,10,10,12660.581748849225,4208.330583357316,0.00013072668372842892
OLAR,1500,10,10,2837.489358939747,9035.014719369985,0.01219339643868435
ELASTIC,1500,10,10,7217.500957839716,12165.910331614708,0.017699929883836736
FedAECS,1500,10,1,59454.454925554426,19025.42557617742,0.22907453493763602
MC²MKP,1500,10,10,13717.7083403453,4553.510864671602,0.0001311370568327331
MEC,1500,10,10,2837.489358939747,9035.014719369987,0.01219339643868435
ECMTC,1500,10,10,13717.7083403453,4553.510864671602,0.0001311370568327331
OLAR,1600,10,10,3064.6295435688044,9758.475063000807,0.013135572108879445
ELASTIC,1600,10,10,7796.975837126362,13141.797439538988,0.019118963345677788
FedAECS,1600,10,1,63979.91669756331,20473.57334322026,0.24453773749595029
MC²MKP,1600,10,10,14783.57524326493,4901.550595414558,0.00013155082289750228
MEC,1600,10,10,3064.6295435688044,9758.475063000807,0.013135572108879445
ECMTC,1600,10,10,14783.57524326493,4901.550595414558,0.00013155082289750228
OLAR,1700,10,10,3289.580465762871,10490.698321181268,0.014224343454760128
ELASTIC,1700,10,10,8382.44736713402,14127.783439302311,0.02055268156493673
FedAECS,1700,10,1,68539.31452940147,21932.58064940847,0.25987878598481345
MC²MKP,1700,10,10,15868.62486875835,5252.281684572978,0.000131972035632779
MEC,1700,10,10,3289.580465762871,10490.69832118127,0.014224343454760128
ECMTC,1700,10,10,15868.62486875835,5252.281684572978,0.000131972035632779
ELASTIC,1800,10,10,8973.562408038342,15123.273612109799,0.022000219763440493
OLAR,1800,10,10,3520.7393720421746,11221.426489580763,0.015186930593866825
FedAECS,1800,10,1,73130.6486245985,23401.807559871522,0.2750930698236263
MC²MKP,1800,10,10,16950.442379611304,5605.515416260009,0.0001323919936716654
MEC,1800,10,10,3520.7393720421746,11221.426489580763,0.015186930593866825
ECMTC,1800,10,10,16950.442379611304,5605.515416260009,0.0001323919936716654
OLAR,1900,10,10,3753.7259093168163,11966.623936648792,0.016158234797105642
ELASTIC,1900,10,10,9570.007118420066,16127.739421167294,0.023460809397993214
FedAECS,1900,10,1,77752.14187514245,24880.685400045586,0.29017704570367875
MC²MKP,1900,10,10,18050.66131422239,5961.13108724055,0.00013281909508340039
MEC,1900,10,10,3753.7259093168163,11966.623936648792,0.016158234797105642
ECMTC,1900,10,10,18050.66131422239,5961.13108724055,0.00013281909508340039
OLAR,2000,10,10,3990.0665548639067,12710.697018209223,0.01727840018567258
ELASTIC,2000,10,10,10171.500738457758,17140.708042026396,0.024933762936493672
FedAECS,2000,10,1,82402.20461054506,26368.70547537442,0.30512805038284674
MC²MKP,2000,10,10,19157.881630592725,6319.016519542872,0.00013324891440876093
MEC,2000,10,10,3990.0665548639067,12710.697018209223,0.01727840018567258
ECMTC,2000,10,10,19157.881630592725,6319.016519542872,0.00013324891440876093
OLAR,2100,10,10,4220.855541956647,13484.754718739847,0.018266961571114577
ELASTIC,2100,10,10,10777.790619217722,18161.75399146766,0.02641846168552853
FedAECS,2100,10,1,87079.40641711243,27865.41005347598,0.31994415043255764
MC²MKP,2100,10,10,20260.461177948993,6679.03862816679,0.00013367693220268524
MEC,2100,10,10,4220.855541956647,13484.754718739847,0.018266961571114577
ECMTC,2100,10,10,20260.461177948993,6679.03862816679,0.00013367693220268524
OLAR,2200,10,10,4461.879535601449,14236.583858433527,0.01926300062676203
ELASTIC,2200,10,10,11388.64820062349,19190.492354044392,0.027914345941117275
