
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow random functions with RNG seeds starting at 100.
#  - Accuracy costs were later normalized.
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Num_Selected_Resources,Makespan,Energy_Consumption,Training_Accuracy
OLAR,1000,10,10,4701.219189525404,26283.915335590864,0.2994619615335343
ELASTIC,1000,10,10,4326.100549415412,19948.037556848838,0.356550607631268
FedAECS,1000,10,1,3195.856730228039,3195.856730228039,0.49419137370307403
MC²MKP,1000,10,9,42.82398874189519,201.07147022823017,0.004916938244151381
MEC,1000,10,9,42.82398874189519,201.07147022823014,0.004916938244151381
ECMTC,1000,10,9,42.82398874189519,201.07147022823014,0.004916938244151381
OLAR,1100,10,10,4701.219189525404,24726.244628411398,0.2993996465183244
ELASTIC,1100,10,10,4092.396633551709,17276.458207841977,0.16761495321995595
FedAECS,1100,10,1,2430.3054241899463,2430.3054241899463,0.39612950224520355
MC²MKP,1100,10,9,53.11572671588771,209.65571917343107,0.004916938488362995
MEC,1100,10,10,39.913055530205746,229.20182319052796,0.004918427794604985
ECMTC,1100,10,9,53.11572671588771,209.6557191734311,0.004916938488362995
OLAR,1200,10,10,4701.219189525404,23073.00445133675,0.2993335082220175
ELASTIC,1200,10,10,4769.883930968026,34403.84581463942,0.5814164880042983
FedAECS,1200,10,1,2681.7342214324644,2681.7342214324644,0.4294078995174582
MC²MKP,1200,10,9,42.82398874189519,186.30393115497913,0.004916938244151381
MEC,1200,10,10,38.005638338898805,191.40486401722947,0.0049169382441436645
ECMTC,1200,10,9,42.82398874189519,186.30393115497915,0.004916938244151381
OLAR,1300,10,10,4701.219189525404,21683.209183947252,0.2992779091067315
ELASTIC,1300,10,10,4479.582693688913,28669.479821597157,0.6958265323005327
FedAECS,1300,10,1,373.0673730215489,373.0673730215489,0.0719611339215479
MC²MKP,1300,10,9,42.82398874189519,167.10533369898974,0.002390457057604685
MEC,1300,10,10,30.330770084205373,172.14595873687458,0.004916938256276615
ECMTC,1300,10,9,42.82398874189519,167.10533369898974,0.002390457057604685
OLAR,1400,10,10,4701.219189525404,27902.231596967034,0.29945569449140946
ELASTIC,1400,10,10,3899.844131241522,20507.763661248122,0.2435920779818941
FedAECS,1400,10,1,4909.994111288603,4909.994111288603,0.6841065232013285
MC²MKP,1400,10,9,42.82398874189519,169.71091974401278,0.0023904570591486993
MEC,1400,10,10,30.330770084205373,172.5312385543304,0.004916938244128765
ECMTC,1400,10,9,42.82398874189519,169.7109197440128,0.0023904570591486993
OLAR,1500,10,10,4701.219189525404,28481.337825304934,0.29945569449140946
ELASTIC,1500,10,10,4142.8968407040675,23814.23568525704,0.8024949421613644
FedAECS,1500,10,1,4815.293715341303,4815.293715341303,0.6745045148128525
MC²MKP,1500,10,9,42.82398874189519,153.72898286906468,0.004916938244151381
MEC,1500,10,10,26.79777117686799,157.37841966362356,0.004916938256276615
ECMTC,1500,10,9,42.82398874189519,153.72898286906468,0.004916938244151381
