
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow nlogn functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run MEC followed by ECMTC.
#  - We use no lower or upper task assignment limits for resources.
#  - We use relaxation percentages of 0.25 (25%); 0.50 (50%); 0.75 (75%); 1.0 (100%);
#    1.25 (125%); 1.50 (150%); 1.75 (175%); and 2.0 (200%) for the minimal makespan found
#    to evaluate the potential energy consumption reductions.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Time_Limit,Makespan_Relaxation_Percentage,Makespan,Energy_Consumption
MEC,1000,10,inf,0,1743.83302287567,5544.94025665527
ECMTC,1000,10,2179.79127859458,0.25,2175.03391148951,4639.54463966338
ECMTC,1000,10,2615.7495343135,0.5,2615.70225613767,4202.68589537608
ECMTC,1000,10,3051.70779003242,0.75,3051.32475527974,3960.59506681522
ECMTC,1000,10,3487.66604575133,1,3485.23899129518,3786.24743125161
ECMTC,1000,10,3923.62430147025,1.25,3922.98705068149,3639.28722590832
ECMTC,1000,10,4359.58255718917,1.5,4357.96904396325,3521.02731927795
ECMTC,1000,10,4795.54081290809,1.75,4788.97154649131,3416.04267459818
ECMTC,1000,10,5231.499068627,2,5224.59043141696,3316.97939695048
MEC,1100,10,inf,0,1961.16030113944,6220.7143016874
ECMTC,1100,10,2451.4503764243,0.25,2448.78854621533,5187.51908767267
ECMTC,1100,10,2941.74045170916,0.5,2941.16192138864,4699.11937756805
ECMTC,1100,10,3432.03052699402,0.75,3428.05870648511,4429.23563116332
ECMTC,1100,10,3922.32060227888,1,3913.1660667524,4233.59188310731
ECMTC,1100,10,4412.61067756374,1.25,4405.61859058791,4067.73728630827
ECMTC,1100,10,4902.9007528486,1.5,4895.04357942478,3934.26871338783
ECMTC,1100,10,5393.19082813346,1.75,5390.28816321711,3813.31225641493
ECMTC,1100,10,5883.48090341832,2,5881.02090809891,3701.46359022003
MEC,1200,10,inf,0,2172.07659964953,6921.68370292881
ECMTC,1200,10,2715.09574956192,0.25,2712.43268514613,5762.6438644365
ECMTC,1200,10,3258.1148994743,0.5,3252.80851130659,5212.5531201758
ECMTC,1200,10,3801.13404938669,0.75,3800.53707318064,4909.49244898435
ECMTC,1200,10,4344.15319929907,1,4338.92648794648,4690.50530989189
ECMTC,1200,10,4887.17234921145,1.25,4886.81255992195,4505.05839005258
ECMTC,1200,10,5430.19149912384,1.5,5429.36280039422,4355.75389498123
ECMTC,1200,10,5973.21064903622,1.75,5969.86933532254,4223.03028273027
ECMTC,1200,10,6516.2297989486,2,6516.07318037867,4097.73351908036
MEC,1300,10,inf,0,2392.86728861063,7612.1847659805
ECMTC,1300,10,2991.08411076329,0.25,2989.25445239926,6330.60613748967
ECMTC,1300,10,3589.30093291595,0.5,3585.7929267382,5724.81459090287
ECMTC,1300,10,4187.51775506861,0.75,4186.94637781711,5390.93905177964
ECMTC,1300,10,4785.73457722127,1,4782.29007695633,5149.44861192104
ECMTC,1300,10,5383.95139937393,1.25,5380.52463514988,4945.19753872458
ECMTC,1300,10,5982.16822152658,1.5,5979.75082629913,4780.04665734904
ECMTC,1300,10,6580.38504367924,1.75,6575.98535275602,4633.20050990527
ECMTC,1300,10,7178.6018658319,2,7178.45382771322,4494.51988893121
MEC,1400,10,inf,0,2612.3606961727,8324.4810054437
ECMTC,1400,10,3265.45087021587,0.25,3264.22741168636,6915.43434757766
ECMTC,1400,10,3918.54104425905,0.5,3913.1660667524,6250.02867898477
ECMTC,1400,10,4571.63121830222,0.75,4568.0813944585,5883.47455606762
ECMTC,1400,10,5224.7213923454,1,5224.59043141696,5614.47286350091
ECMTC,1400,10,5877.81156638857,1.25,5875.31051391836,5393.28418113269
ECMTC,1400,10,6530.90174043175,1.5,6526.05419678802,5211.60082234086
ECMTC,1400,10,7183.99191447492,1.75,7178.45382771322,5050.46783341355
ECMTC,1400,10,7837.0820885181,2,7827.44249571527,4900.2893539235
MEC,1500,10,inf,0,2837.48935893975,9035.01471936999
ECMTC,1500,10,3546.86169867468,0.25,3539.31135537469,7509.35826716396
ECMTC,1500,10,4256.23403840962,0.5,4253.35829747018,6774.38756369224
ECMTC,1500,10,4965.60637814456,0.75,4962.68507152896,6376.4126321073
ECMTC,1500,10,5674.97871787949,1,5674.31189817743,6084.56256359022
ECMTC,1500,10,6384.35105761443,1.25,6377.63749996919,5843.28471223216
ECMTC,1500,10,7093.72339734937,1.5,7087.70495305314,5645.11941576213
ECMTC,1500,10,7803.0957370843,1.75,7796.88157068628,5469.57821885593
ECMTC,1500,10,8512.46807681924,2,8503.0895230385,5305.74025415407
MEC,1600,10,inf,0,3064.6295435688,9758.47506300081
ECMTC,1600,10,3830.78692946101,0.25,3828.65718181641,8093.91530231782
ECMTC,1600,10,4596.94431535321,0.5,4596.82308009965,7304.18294376926
ECMTC,1600,10,5363.10170124541,0.75,5361.00375907817,6873.99250454955
ECMTC,1600,10,6129.25908713761,1,6128.19714711153,6558.60564562982
ECMTC,1600,10,6895.41647302981,1.25,6886.51294551942,6297.71238412589
ECMTC,1600,10,7661.57385892201,1.5,7654.44214976534,6082.83788361954
ECMTC,1600,10,8427.73124481421,1.75,8420.86344609679,5892.6385567032
ECMTC,1600,10,9193.88863070641,2,9184.76480026647,5715.07824017385
MEC,1700,10,inf,0,3289.58046576287,10490.6983211813
ECMTC,1700,10,4111.97558220359,0.25,4111.2006016622,8697.30140199435
ECMTC,1700,10,4934.37069864431,0.5,4933.68253622546,7845.96684860661
ECMTC,1700,10,5756.76581508502,0.75,5752.95740417775,7381.71229210914
ECMTC,1700,10,6579.16093152574,1,6576.33638726365,7041.14146246636
ECMTC,1700,10,7401.55604796646,1.25,7400.82811508466,6756.22821303607
ECMTC,1700,10,8223.95116440718,1.5,8215.69041520175,6527.11873303629
ECMTC,1700,10,9046.34628084789,1.75,9039.68365546186,6321.99375651644
ECMTC,1700,10,9868.74139728861,2,9861.62091731754,6130.29480977794
MEC,1800,10,inf,0,3520.73937204217,11221.4264895808
ECMTC,1800,10,4400.92421505272,0.25,4397.62396793583,9309.03877298843
ECMTC,1800,10,5281.10905806326,0.5,5273.3351294494,8390.3593774233
ECMTC,1800,10,6161.29390107381,0.75,6157.93635084781,7890.06490372027
ECMTC,1800,10,7041.47874408435,1,7037.34554166295,7524.50590030325
ECMTC,1800,10,7921.66358709489,1.25,7919.20535334203,7218.67102637223
ECMTC,1800,10,8801.84843010544,1.5,8791.57288383584,6972.49740868999
ECMTC,1800,10,9682.03327311598,1.75,9673.65637958094,6752.41202845662
ECMTC,1800,10,10562.2181161265,2,10554.1431265464,6546.52867903764
MEC,1900,10,inf,0,3753.72590931682,11966.6239366488
ECMTC,1900,10,4692.15738664602,0.25,4688.3447048106,9919.67670292653
ECMTC,1900,10,5630.58886397523,0.5,5626.09045326564,8934.53960248772
ECMTC,1900,10,6569.02034130443,0.75,6565.99565271741,8400.90891974564
ECMTC,1900,10,7507.45181863363,1,7506.89003487414,8010.9867765812
ECMTC,1900,10,8445.88329596284,1.25,8441.41162757313,7684.77776183719
ECMTC,1900,10,9384.31477329204,1.5,9382.06524788322,7418.65324333899
ECMTC,1900,10,10322.7462506212,1.75,10322.7337103692,7183.64940490313
ECMTC,1900,10,11261.1777279504,2,11251.6542312879,6965.98978856599
MEC,2000,10,inf,0,3990.06655486391,12710.6970182092
ECMTC,2000,10,4987.58319357988,0.25,4987.36643225962,10525.762783936
ECMTC,2000,10,5985.09983229586,0.5,5983.97951309952,9482.5200950007
ECMTC,2000,10,6982.61647101184,0.75,6976.96808528214,8916.04990237187
ECMTC,2000,10,7980.13310972781,1,7970.23629318049,8501.9802118504
ECMTC,2000,10,8977.64974844379,1.25,8977.58446185157,8150.96066328127
ECMTC,2000,10,9975.16638715977,1.5,9966.21615049853,7870.74612109508
ECMTC,2000,10,10972.6830258757,1.75,10965.7239307668,7620.59123268697
ECMTC,2000,10,11970.1996645917,2,11964.5566228165,7386.07464039173
MEC,2100,10,inf,0,4220.85554195665,13484.7547187398
ECMTC,2100,10,5276.06942744581,0.25,5273.3351294494,11153.2939291317
ECMTC,2100,10,6331.28331293497,0.5,6331.21692103198,10042.7823494459
ECMTC,2100,10,7386.49719842413,0.75,7380.58075372308,9440.25398852816
ECMTC,2100,10,8441.71108391329,1,8441.41162757313,8996.50344551751
ECMTC,2100,10,9496.92496940246,1.25,9496.50173854745,8627.33713843016
ECMTC,2100,10,10552.1388548916,1.5,10543.6124164905,8328.70301205742
ECMTC,2100,10,11607.3527403808,1.75,11602.1943391478,8063.11488420573
ECMTC,2100,10,12662.5666258699,2,12660.5817488492,7813.89375884166
MEC,2200,10,inf,0,4461.87953560145,14236.5838584335
ECMTC,2200,10,5577.34941950181,0.25,5576.18215593727,11774.8147348531
ECMTC,2200,10,6692.81930340217,0.5,6689.02121999227,10599.2461561366
ECMTC,2200,10,7808.28918730254,0.75,7807.06705651372,9958.30108555104
ECMTC,2200,10,8923.7590712029,1,8919.3658239226,9493.57587869639
ECMTC,2200,10,10039.2289551033,1.25,10034.7298007088,9103.06537655075
ECMTC,2200,10,11154.6988390036,1.5,11145.6611818823,8784.21441910379
ECMTC,2200,10,12270.168722904,1.75,12263.8641880929,8503.31238167276
ECMTC,2200,10,13385.6386068043,2,13382.3374981471,8239.59717335776
MEC,2300,10,inf,0,4702.85296680851,15000.6165757751
ECMTC,2300,10,5878.56620851064,0.25,5875.31051391836,12401.8474693968
ECMTC,2300,10,7054.27945021276,0.5,7052.221253496,11158.8388563886
ECMTC,2300,10,8229.99269191489,0.75,8229.69164777411,10483.7628656805
ECMTC,2300,10,9405.70593361702,1,9402.8605102923,9991.08174686364
ECMTC,2300,10,10581.4191753191,1.25,10575.2079796298,9579.04143044494
ECMTC,2300,10,11757.1324170213,1.5,11751.2567196302,9242.51619059353
ECMTC,2300,10,12932.8456587234,1.75,12929.3927087336,8946.20269553808
ECMTC,2300,10,14108.5589004255,2,14108.2667809002,8667.8822211845
MEC,2400,10,inf,0,4943.34783352939,15771.140866745
ECMTC,2400,10,6179.18479191174,0.25,6177.77164820708,13036.8654736234
ECMTC,2400,10,7415.02175029409,0.5,7415.01030588812,11722.4925618137
ECMTC,2400,10,8650.85870867643,0.75,8647.19766099841,11014.2748280006
ECMTC,2400,10,9886.69566705878,1,9882.60061932304,10494.3406996186
ECMTC,2400,10,11122.5326254411,1.25,11113.8845050532,10061.0272292361
ECMTC,2400,10,12358.3695838235,1.5,12349.5258776207,9706.24066218894
ECMTC,2400,10,13594.2065422058,1.75,13587.7826570225,9394.33912713517
ECMTC,2400,10,14830.0435005882,2,14827.2573610258,9101.12758672931
MEC,2500,10,inf,0,5185.69082585698,16547.3783392913
ECMTC,2500,10,6482.11353232122,0.25,6479.73825154389,13672.0271621787
ECMTC,2500,10,7778.53623878547,0.5,7776.51507506182,12291.9494347005
ECMTC,2500,10,9074.95894524971,0.75,9070.75096583467,11546.5065300009
ECMTC,2500,10,10371.381651714,1,10364.7664553389,11001.3275624298
ECMTC,2500,10,11667.8043581782,1.25,11667.1119026556,10542.1660991228
ECMTC,2500,10,12964.2270646424,1.5,12961.6904747653,10169.7939424021
ECMTC,2500,10,14260.6497711067,1.75,14260.4627008914,9842.32217977509
ECMTC,2500,10,15557.0724775709,2,15549.9482477989,9536.77062566159
MEC,2600,10,inf,0,5429.36280039422,17333.3685415654
ECMTC,2600,10,6786.70350049277,0.25,6786.16517487926,14313.0504065847
ECMTC,2600,10,8144.04420059133,0.5,8144.01388103003,12862.2490673786
ECMTC,2600,10,9501.38490068988,0.75,9497.21865163295,12082.7520783278
ECMTC,2600,10,10858.7256007884,1,10856.9622464124,11510.306204994
ECMTC,2600,10,12216.066300887,1.25,12210.8640060043,11029.5300224095
ECMTC,2600,10,13573.4070009855,1.5,13566.1411847478,10638.6308601526
ECMTC,2600,10,14930.7477010841,1.75,14925.5917515254,10295.3374183081
ECMTC,2600,10,16288.0884011827,2,16287.2176519754,9972.18224895006
MEC,2700,10,inf,0,5679.65058630099,18107.6866138883
ECMTC,2700,10,7099.56323287624,0.25,7097.78170533553,14947.8905825099
ECMTC,2700,10,8519.47587945149,0.5,8513.37402053792,13435.6210720644
ECMTC,2700,10,9939.38852602674,0.75,9939.19180297759,12616.2950933783
ECMTC,2700,10,11359.301172602,1,11357.7555040498,12014.7671714204
ECMTC,2700,10,12779.2138191772,1.25,12778.7841014748,11512.5691122386
ECMTC,2700,10,14199.1264657525,1.5,14195.2146907372,11104.1948245706
ECMTC,2700,10,15619.0391123277,1.75,15615.8255549897,10745.2499313263
ECMTC,2700,10,17038.951758903,2,17027.9974207929,10409.799740339
MEC,2800,10,inf,0,5922.56298107577,18910.3760802454
ECMTC,2800,10,7403.20372634471,0.25,7400.82811508466,15600.6091448165
ECMTC,2800,10,8883.84447161365,0.5,8882.58535691654,14017.1346552628
ECMTC,2800,10,10364.4852168826,0.75,10361.2446596759,13161.3653827346
ECMTC,2800,10,11845.1259621515,1,11841.5785010831,12533.4426367071
ECMTC,2800,10,13325.7667074205,1.25,13317.5295698775,12008.6413087083
ECMTC,2800,10,14806.4074526894,1.5,14805.414601511,11577.7089732548
ECMTC,2800,10,16287.0481979584,1.75,16276.1874758719,11205.4704517968
ECMTC,2800,10,17767.6889432273,2,17761.0214877036,10852.1027544905
MEC,2900,10,inf,0,6170.06754022033,19705.0276756917
ECMTC,2900,10,7712.58442527542,0.25,7711.83760276152,16252.5185404556
ECMTC,2900,10,9255.1013103305,0.5,9248.38028573619,14600.3953082651
ECMTC,2900,10,10797.6181953856,0.75,10796.6633781571,13702.1718444336
ECMTC,2900,10,12340.1350804407,1,12338.8146677916,13047.4003895446
ECMTC,2900,10,13882.6519654958,1.25,13880.2994661554,12499.7035883357
ECMTC,2900,10,15425.1688505508,1.5,15418.281694116,12053.4772245324
ECMTC,2900,10,16967.6857356059,1.75,16961.519410437,11662.4259855424
ECMTC,2900,10,18510.202620661,2,18508.3791173533,11293.8735361579
MEC,3000,10,inf,0,6417.08333893038,20506.1641500344
ECMTC,3000,10,8021.35417366298,0.25,8021.30381105747,16906.942665324
ECMTC,3000,10,9625.62500839557,0.5,9621.51475381813,15182.5409802092
ECMTC,3000,10,11229.8958431282,0.75,11222.6238375024,14252.5231110174
ECMTC,3000,10,12834.1666778608,1,12832.5512147365,13567.3931070269
ECMTC,3000,10,14438.4375125934,1.25,14434.6117286417,12996.7405439907
ECMTC,3000,10,16042.708347326,1.5,16033.7223441639,12531.3908372508
ECMTC,3000,10,17646.9791820585,1.75,17638.6285471554,12124.1513382124
ECMTC,3000,10,19251.2500167911,2,19247.6485939554,11740.1813105523
MEC,3100,10,inf,0,6669.88732133489,21300.0630014355
ECMTC,3100,10,8337.35915166861,0.25,8336.7199455331,17569.7097788619
ECMTC,3100,10,10004.8309820023,0.5,9997.61824072321,15767.4017355267
ECMTC,3100,10,11672.3028123361,0.75,11667.1119026556,14796.4717841009
ECMTC,3100,10,13339.7746426698,1,13339.1284863197,14085.2048511438
ECMTC,3100,10,15007.2464730035,1.25,15002.1213558224,13492.6451306644
ECMTC,3100,10,16674.7183033372,1.5,16673.7630414086,13005.588449534
ECMTC,3100,10,18342.1901336709,1.75,18340.7838254106,12582.3757535389
ECMTC,3100,10,20009.6619640047,2,20001.1250811772,12185.7978210654
MEC,3200,10,inf,0,6926.69870280432,22101.7301792085
ECMTC,3200,10,8658.3733785054,0.25,8657.50136557027,18207.4709881953
ECMTC,3200,10,10390.0480542065,0.5,10385.7898096973,16348.1050514093
ECMTC,3200,10,12121.7227299076,0.75,12114.5961305873,15342.7907892038
ECMTC,3200,10,13853.3974056086,1,13847.7649739806,14605.2198716814
ECMTC,3200,10,15585.0720813097,1.25,15582.8832436042,13986.8836048705
ECMTC,3200,10,17316.7467570108,1.5,17316.3803253004,13481.763614939
ECMTC,3200,10,19048.4214327119,1.75,19045.7339170934,13042.4976917399
ECMTC,3200,10,20780.096108413,2,20768.8408553542,12630.6431105568
MEC,3300,10,inf,0,7176.76732912596,22925.7403305337
ECMTC,3300,10,8970.95916140745,0.25,8970.08628422777,18880.6682969511
ECMTC,3300,10,10765.1509936889,0.5,10764.9963864124,16938.0481538503
ECMTC,3300,10,12559.3428259704,0.75,12553.2274964518,15897.6343933564
ECMTC,3300,10,14353.5346582519,1,14353.2512680356,15131.1160545797
ECMTC,3300,10,16147.7264905334,1.25,16143.8865123375,14490.2762215956
ECMTC,3300,10,17941.9183228149,1.5,17939.2038837112,13965.6855119131
ECMTC,3300,10,19736.1101550964,1.75,19730.881375882,13510.0152155384
ECMTC,3300,10,21530.3019873779,2,21528.1203315593,13079.8765474783
MEC,3400,10,inf,0,7433.07614879835,23731.6888765506
ECMTC,3400,10,9291.34518599794,0.25,9288.69066604142,19541.8529481391
ECMTC,3400,10,11149.6142231975,0.5,11145.6611818823,17530.4679298311
ECMTC,3400,10,13007.8832603971,0.75,13004.7675411952,16448.4858358243
ECMTC,3400,10,14866.1522975967,1,14860.0278680295,15656.2418676429
ECMTC,3400,10,16724.4213347963,1.25,16717.9997531248,14991.8562147074
ECMTC,3400,10,18582.6903719959,1.5,18575.4613036911,14448.5735891608
ECMTC,3400,10,20440.9594091955,1.75,20429.7774131843,13976.5381980976
ECMTC,3400,10,22299.2284463951,2,22290.1432753622,13530.8277307322
MEC,3500,10,inf,0,7686.43322096457,24558.9074902898
ECMTC,3500,10,9608.04152620571,0.25,9607.48657901491,20212.0471365714
ECMTC,3500,10,11529.6498314468,0.5,11527.7404362713,18127.8526158629
ECMTC,3500,10,13451.258136688,0.75,13447.1788839811,17006.3029399806
ECMTC,3500,10,15372.8664419291,1,15368.5830645934,16186.2922450955
ECMTC,3500,10,17294.4747471703,1.25,17294.1791545567,15495.8112549164
ECMTC,3500,10,19216.0830524114,1.5,19213.9809132678,14933.2717114905
ECMTC,3500,10,21137.6913576525,1.75,21131.1340778749,14444.8045954698
ECMTC,3500,10,23059.2996628937,2,23054.8264879025,13983.4413371837
MEC,3600,10,inf,0,7946.17003404664,25372.7259524018
ECMTC,3600,10,9932.7125425583,0.25,9932.25832529136,20878.6912818443
ECMTC,3600,10,11919.25505107,0.5,11919.2144119334,18721.8451586065
ECMTC,3600,10,13905.7975595816,0.75,13901.9936285974,17561.4222097109
ECMTC,3600,10,15892.3400680933,1,15890.6275021988,16710.8205352247
ECMTC,3600,10,17878.8825766049,1.25,17872.3638605611,16001.1740186742
ECMTC,3600,10,19865.4250851166,1.5,19854.6961580023,15419.7183827281
ECMTC,3600,10,21851.9675936283,1.75,21846.248890989,14911.9601453658
ECMTC,3600,10,23838.5101021399,2,23833.5625629722,14435.0270672654
MEC,3700,10,inf,0,8205.44662315495,26189.2895884157
ECMTC,3700,10,10256.8082789437,0.25,10249.97676297,21546.0392997488
ECMTC,3700,10,12308.1699347324,0.5,12306.6870298629,19318.4254606238
ECMTC,3700,10,14359.5315905212,0.75,14358.3939990324,18119.0168778664
ECMTC,3700,10,16410.8932463099,1,16408.6010845115,17241.8975908223
ECMTC,3700,10,18462.2549020986,1.25,18458.4251498859,16508.3518593476
ECMTC,3700,10,20513.6165578874,1.5,20508.8410026759,15904.9231095461
ECMTC,3700,10,22564.9782136761,1.75,22563.7580333699,15380.7521458356
ECMTC,3700,10,24616.3398694648,2,24614.8811212236,14888.1802330697
MEC,3800,10,inf,0,8459.89928703557,27022.1924091121
ECMTC,3800,10,10574.8741087945,0.25,10573.3348336261,22228.6277729235
